DateTime,Tempc
6/20/2022 15:03,21.6
6/20/2022 15:33,21.6
6/20/2022 16:03,21.6
6/20/2022 16:33,21.6
6/20/2022 17:03,21.1
6/20/2022 17:33,20.6
6/20/2022 18:03,20.1
6/20/2022 18:33,20.1
6/20/2022 19:03,19.6
6/20/2022 19:33,19.1
6/20/2022 20:03,18.1
6/20/2022 20:33,18.1
6/20/2022 21:03,17.1
6/20/2022 21:33,16.1
6/20/2022 22:03,15.1
6/20/2022 22:33,15.1
6/20/2022 23:03,15.1
6/20/2022 23:33,14.1
6/21/2022 0:03,13.1
6/21/2022 0:33,13.1
6/21/2022 1:03,12.1
6/21/2022 1:33,12.1
6/21/2022 2:03,12.1
6/21/2022 2:33,12.6
6/21/2022 3:03,11.6
6/21/2022 3:33,11.1
6/21/2022 4:03,10.6
6/21/2022 4:33,10.1
6/21/2022 5:03,10.6
6/21/2022 5:33,10.1
6/21/2022 6:03,10.6
6/21/2022 6:33,11.1
6/21/2022 7:03,11.1
6/21/2022 7:33,11.6
6/21/2022 8:03,12.6
6/21/2022 8:33,13.1
6/21/2022 9:03,13.6
6/21/2022 9:33,14.6
6/21/2022 10:03,15.1
6/21/2022 10:33,16.6
6/21/2022 11:03,16.6
6/21/2022 11:33,17.1
6/21/2022 12:03,18.1
6/21/2022 12:33,19.6
6/21/2022 13:03,19.1
6/21/2022 13:33,19.1
6/21/2022 14:03,18.6
6/21/2022 14:33,19.6
6/21/2022 15:03,19.6
6/21/2022 15:33,19.1
6/21/2022 16:03,18.1
6/21/2022 16:33,18.1
6/21/2022 17:03,17.6
6/21/2022 17:33,17.1
6/21/2022 18:03,17.1
6/21/2022 18:33,16.6
6/21/2022 19:03,16.6
6/21/2022 19:33,16.1
6/21/2022 20:03,14.6
6/21/2022 20:33,14.1
6/21/2022 21:03,14.1
6/21/2022 21:33,13.6
6/21/2022 22:03,13.1
6/21/2022 22:33,13.1
6/21/2022 23:03,13.1
6/21/2022 23:33,13.6
6/22/2022 0:03,13.6
6/22/2022 0:33,14.1
6/22/2022 1:03,14.1
6/22/2022 1:33,14.1
6/22/2022 2:03,14.1
6/22/2022 2:33,14.1
6/22/2022 3:03,14.1
6/22/2022 3:33,14.1
6/22/2022 4:03,14.6
6/22/2022 4:33,14.6
6/22/2022 5:03,14.6
6/22/2022 5:33,14.6
6/22/2022 6:03,15.1
6/22/2022 6:33,15.1
6/22/2022 7:03,14.6
6/22/2022 7:33,14.6
6/22/2022 8:03,14.6
6/22/2022 8:33,14.6
6/22/2022 9:03,14.6
6/22/2022 9:33,15.1
6/22/2022 10:03,15.6
6/22/2022 10:33,16.6
6/22/2022 11:03,17.1
6/22/2022 11:33,17.1
6/22/2022 12:03,17.1
6/22/2022 12:33,17.6
6/22/2022 13:03,17.6
6/22/2022 13:33,18.6
6/22/2022 14:03,18.6
6/22/2022 14:33,18.6
6/22/2022 15:03,19.1
6/22/2022 15:33,19.1
6/22/2022 16:03,19.1
6/22/2022 16:33,19.6
6/22/2022 17:03,19.6
6/22/2022 17:33,18.6
6/22/2022 18:03,18.1
6/22/2022 18:33,17.1
6/22/2022 19:03,17.1
6/22/2022 19:33,16.6
6/22/2022 20:03,16.6
6/22/2022 20:33,16.1
6/22/2022 21:03,16.1
6/22/2022 21:33,16.1
6/22/2022 22:03,16.1
6/22/2022 22:33,16.1
6/22/2022 23:03,16.1
6/22/2022 23:33,15.6
6/23/2022 0:03,15.6
6/23/2022 0:33,15.6
6/23/2022 1:03,15.6
6/23/2022 1:33,15.6
6/23/2022 2:03,15.6
6/23/2022 2:33,15.6
6/23/2022 3:03,15.6
6/23/2022 3:33,15.6
6/23/2022 4:03,15.6
6/23/2022 4:33,15.6
6/23/2022 5:03,15.6
6/23/2022 5:33,15.6
6/23/2022 6:03,15.6
6/23/2022 6:33,15.6
6/23/2022 7:03,15.6
6/23/2022 7:33,15.6
6/23/2022 8:03,15.6
6/23/2022 8:33,15.6
6/23/2022 9:03,15.6
6/23/2022 9:33,16.1
6/23/2022 10:03,15.1
6/23/2022 10:33,14.6
6/23/2022 11:03,15.1
6/23/2022 11:33,15.1
6/23/2022 12:03,15.6
6/23/2022 12:33,16.1
6/23/2022 13:03,17.1
6/23/2022 13:33,16.6
6/23/2022 14:03,16.1
6/23/2022 14:33,16.1
6/23/2022 15:03,16.1
6/23/2022 15:33,17.1
6/23/2022 16:03,17.1
6/23/2022 16:33,16.6
6/23/2022 17:03,16.1
6/23/2022 17:33,16.1
6/23/2022 18:03,15.6
6/23/2022 18:33,15.6
6/23/2022 19:03,15.6
6/23/2022 19:33,15.6
6/23/2022 20:03,15.6
6/23/2022 20:33,15.1
6/23/2022 21:03,15.1
6/23/2022 21:33,15.1
6/23/2022 22:03,15.1
6/23/2022 22:33,15.1
6/23/2022 23:03,15.1
6/23/2022 23:33,15.1
6/24/2022 0:03,15.1
6/24/2022 0:33,15.1
6/24/2022 1:03,15.1
6/24/2022 1:33,15.1
6/24/2022 2:03,15.1
6/24/2022 2:33,15.1
6/24/2022 3:03,15.1
6/24/2022 3:33,14.6
6/24/2022 4:03,14.6
6/24/2022 4:33,14.6
6/24/2022 5:03,14.6
6/24/2022 5:33,14.6
6/24/2022 6:03,14.6
6/24/2022 6:33,14.6
6/24/2022 7:03,15.1
6/24/2022 7:33,15.6
6/24/2022 8:03,16.1
6/24/2022 8:33,17.1
6/24/2022 9:03,17.1
6/24/2022 9:33,17.6
6/24/2022 10:03,18.1
6/24/2022 10:33,19.1
6/24/2022 11:03,20.1
6/24/2022 11:33,20.6
6/24/2022 12:03,20.1
6/24/2022 12:33,21.6
6/24/2022 13:03,22.6
6/24/2022 13:33,22.6
6/24/2022 14:03,23.1
6/24/2022 14:33,23.1
6/24/2022 15:03,23.6
6/24/2022 15:33,24.1
6/24/2022 16:03,24.1
6/24/2022 16:33,24.1
6/24/2022 17:03,23.1
6/24/2022 17:33,23.6
6/24/2022 18:03,23.1
6/24/2022 18:33,23.1
6/24/2022 19:03,22.6
6/24/2022 19:33,22.6
6/24/2022 20:03,21.6
6/24/2022 20:33,21.1
6/24/2022 21:03,20.1
6/24/2022 21:33,19.6
6/24/2022 22:03,19.1
6/24/2022 22:33,18.1
6/24/2022 23:03,17.6
6/24/2022 23:33,17.1
6/25/2022 0:03,16.6
6/25/2022 0:33,16.1
6/25/2022 1:03,16.1
6/25/2022 1:33,16.6
6/25/2022 2:03,16.1
6/25/2022 2:33,16.1
6/25/2022 3:03,16.1
6/25/2022 3:33,15.1
6/25/2022 4:03,14.6
6/25/2022 4:33,14.6
6/25/2022 5:03,14.1
6/25/2022 5:33,14.6
6/25/2022 6:03,15.1
6/25/2022 6:33,15.1
6/25/2022 7:03,15.6
6/25/2022 7:33,16.6
6/25/2022 8:03,17.6
6/25/2022 8:33,19.1
6/25/2022 9:03,20.6
6/25/2022 9:33,21.1
6/25/2022 10:03,25.6
6/25/2022 10:33,24.1
6/25/2022 11:03,24.6
6/25/2022 11:33,25.6
6/25/2022 12:03,26.1
6/25/2022 12:33,26.6
6/25/2022 13:03,27.1
6/25/2022 13:33,27.6
6/25/2022 14:03,28.1
6/25/2022 14:33,26.6
6/25/2022 15:03,27.1
6/25/2022 15:33,27.6
6/25/2022 16:03,27.6
6/25/2022 16:33,27.1
6/25/2022 17:03,27.1
6/25/2022 17:33,26.6
6/25/2022 18:03,26.6
6/25/2022 18:33,26.1
6/25/2022 19:03,26.1
6/25/2022 19:33,25.1
6/25/2022 20:03,24.6
6/25/2022 20:33,24.1
6/25/2022 21:03,23.1
6/25/2022 21:33,22.6
6/25/2022 22:03,22.1
6/25/2022 22:33,21.1
6/25/2022 23:03,21.1
6/25/2022 23:33,20.6
6/26/2022 0:03,20.1
6/26/2022 0:33,20.1
6/26/2022 1:03,19.6
6/26/2022 1:33,19.1
6/26/2022 2:03,18.1
6/26/2022 2:33,18.6
6/26/2022 3:03,18.1
6/26/2022 3:33,17.6
6/26/2022 4:03,17.1
6/26/2022 4:33,17.6
6/26/2022 5:03,17.1
6/26/2022 5:33,16.6
6/26/2022 6:03,16.6
6/26/2022 6:33,17.1
6/26/2022 7:03,18.1
6/26/2022 7:33,19.1
6/26/2022 8:03,20.1
6/26/2022 8:33,21.6
6/26/2022 9:03,23.6
6/26/2022 9:33,24.1
6/26/2022 10:03,28.1
6/26/2022 10:33,26.6
6/26/2022 11:03,27.1
6/26/2022 11:33,28.1
6/26/2022 12:03,28.6
6/26/2022 12:33,29.1
6/26/2022 13:03,29.6
6/26/2022 13:33,29.6
6/26/2022 14:03,30.6
6/26/2022 14:33,30.1
6/26/2022 15:03,30.1
6/26/2022 15:33,29.6
6/26/2022 16:03,29.6
6/26/2022 16:33,29.1
6/26/2022 17:03,28.1
6/26/2022 17:33,27.6
6/26/2022 18:03,27.1
6/26/2022 18:33,26.6
6/26/2022 19:03,26.6
6/26/2022 19:33,26.1
6/26/2022 20:03,25.6
6/26/2022 20:33,25.1
6/26/2022 21:03,24.6
6/26/2022 21:33,24.6
6/26/2022 22:03,24.6
6/26/2022 22:33,24.1
6/26/2022 23:03,24.6
6/26/2022 23:33,25.1
6/27/2022 0:03,25.1
6/27/2022 0:33,24.6
6/27/2022 1:03,24.6
6/27/2022 1:33,24.1
6/27/2022 2:03,22.6
6/27/2022 2:33,20.1
6/27/2022 3:03,20.1
6/27/2022 3:33,20.1
6/27/2022 4:03,19.6
6/27/2022 4:33,19.6
6/27/2022 5:03,19.6
6/27/2022 5:33,19.6
6/27/2022 6:03,19.6
6/27/2022 6:33,19.1
6/27/2022 7:03,19.1
6/27/2022 7:33,19.1
6/27/2022 8:03,19.1
6/27/2022 8:33,19.1
6/27/2022 9:03,19.1
6/27/2022 9:33,19.1
6/27/2022 10:03,19.1
6/27/2022 10:33,20.6
6/27/2022 11:03,21.6
6/27/2022 11:33,22.1
6/27/2022 12:03,21.1
6/27/2022 12:33,21.6
6/27/2022 13:03,21.6
6/27/2022 13:33,21.6
6/27/2022 14:03,22.1
6/27/2022 14:33,21.6
6/27/2022 15:03,21.6
6/27/2022 15:33,21.6
6/27/2022 16:03,22.1
6/27/2022 16:33,20.6
6/27/2022 17:03,20.1
6/27/2022 17:33,20.6
6/27/2022 18:03,20.1
6/27/2022 18:33,19.1
6/27/2022 19:03,18.6
6/27/2022 19:33,18.1
6/27/2022 20:03,17.6
6/27/2022 20:33,17.6
6/27/2022 21:03,17.1
6/27/2022 21:33,17.1
6/27/2022 22:03,16.6
6/27/2022 22:33,16.1
6/27/2022 23:03,16.1
6/27/2022 23:33,16.1
6/28/2022 0:03,16.1
6/28/2022 0:33,16.1
6/28/2022 1:03,16.1
6/28/2022 1:33,15.6
6/28/2022 2:03,15.6
6/28/2022 2:33,15.6
6/28/2022 3:03,15.6
6/28/2022 3:33,15.1
6/28/2022 4:03,15.1
6/28/2022 4:33,15.1
6/28/2022 5:03,14.6
6/28/2022 5:33,14.6
6/28/2022 6:03,14.6
6/28/2022 6:33,15.1
6/28/2022 7:03,15.1
6/28/2022 7:33,15.1
6/28/2022 8:03,15.1
6/28/2022 8:33,16.1
6/28/2022 9:03,16.1
6/28/2022 9:33,16.6
6/28/2022 10:03,18.1
6/28/2022 10:33,18.1
6/28/2022 11:03,18.1
6/28/2022 11:33,19.6
6/28/2022 12:03,20.1
6/28/2022 12:33,20.6
6/28/2022 13:03,21.1
6/28/2022 13:33,21.1
6/28/2022 14:03,21.1
6/28/2022 14:33,20.6
6/28/2022 15:03,21.6
6/28/2022 15:33,21.1
6/28/2022 16:03,20.6
6/28/2022 16:33,20.6
6/28/2022 17:03,20.6
6/28/2022 17:33,20.6
6/28/2022 18:03,20.6
6/28/2022 18:33,20.1
6/28/2022 19:03,19.6
6/28/2022 19:33,19.1
6/28/2022 20:03,19.1
6/28/2022 20:33,18.6
6/28/2022 21:03,18.1
6/28/2022 21:33,17.1
6/28/2022 22:03,16.6
6/28/2022 22:33,16.1
6/28/2022 23:03,15.6
6/28/2022 23:33,15.6
6/29/2022 0:03,14.6
6/29/2022 0:33,14.6
